Name	Distance	Duration	Avg_HR	Timestamp	Weight	Age	BodyF	Height	Id
Tim	10	5	10	2019-08-29T09:12:33.001Z	70	16	15.1	155	d290f1ee-6c54-4b01-90e6-d701748f0851
Harry	20	10	20	2020-01-22T09:12:33.001Z	80	17	15.3	160	d390f1ee-6c54-4b01-90e6-d701748f0851
Paul	30	15	30	2002-10-16T09:12:33.001Z	90	18	15.5	165	d490f1ee-6c54-4b01-90e6-d701748f0851
Justin	40	12	40	2077-12-25T09:12:33.001Z	100	19	15.7	170	d290f1ee-6c54-4b01-90e6-d701748f0852
Carlo	50	20	50	2007-03-19T09:12:33.001Z	110	20	15.9	175	d290f1ee-6c54-4b01-90e6-d701748f0853
Katy	60	34	60	2001-06-10T09:12:33.001Z	120	21	16.1	180	d290f1ee-6c54-4b01-90e6-d701748f0854
Paulo	70	56	83	1995-01-01T09:12:33.001Z	130	22	16.3	185	d290f1ee-6c54-4b01-90e6-d701748f0855
Brandon	80	60	102	1999-05-12T09:12:33.001Z	140	23	16.5	190	d290f1ee-6c54-4b01-90e6-d701748f0856
Peter	90	2	104	2003-04-04T09:12:33.001Z	150	24	16.7	195	d290f1ee-6c54-4b01-90e6-d701748f0858
Mr Krabs	100	0	120	2008-08-08T09:12:33.001Z	160	25	16.9	200	a999f1ee-6c54-4b01-90e6-d701748f0851
